iter	RMSE
0	2793.635107
1	2695.989316
2	2612.232205
3	2541.926889
4	2480.575595
5	2427.070326
6	2381.459767
7	2342.192011
8	2308.860094
9	2278.710159
10	2252.349136
11	2228.547697
12	2209.196085
13	2189.91879
14	2172.757078
15	2155.511467
16	2142.01983
17	2127.853119
18	2116.215876
19	2104.524267
20	2095.311179
21	2085.353013
22	2075.201847
23	2066.672466
24	2058.578408
25	2049.576758
26	2042.670805
27	2036.378324
28	2028.86302
29	2022.005894
30	2017.070593
31	2011.127691
32	2005.411209
33	2000.782626
34	1996.397547
35	1991.381245
36	1986.980758
37	1983.324787
38	1979.772601
39	1975.639409
40	1972.568411
41	1969.104246
42	1965.653278
43	1962.448235
44	1959.858557
45	1956.906311
46	1954.375169
47	1951.582956
48	1948.932817
49	1946.637345
50	1944.61
51	1942.21676
52	1939.839502
53	1937.282122
54	1935.228961
55	1933.041973
56	1931.197742
57	1929.604623
58	1927.970679
59	1926.04401
60	1924.192806
61	1922.422704
62	1920.834868
63	1919.547528
64	1917.705079
65	1915.871788
66	1914.280195
67	1913.168867
68	1911.85266
69	1910.494315
70	1909.275293
71	1907.973318
72	1906.773957
73	1905.639787
74	1904.477171
75	1903.168018
76	1901.96296
77	1901.033021
78	1899.862246
79	1898.497373
80	1897.295411
81	1896.427631
82	1895.613298
83	1894.577332
84	1892.964357
85	1891.853257
86	1890.648793
87	1889.6642
88	1888.479088
89	1887.832342
90	1887.00549
91	1886.146901
92	1885.361939
93	1884.429266
94	1883.411751
95	1882.426706
96	1881.622156
97	1880.780373
98	1879.792
99	1879.186974
100	1878.609737
101	1877.903546
102	1876.947199
103	1876.197961
104	1874.927104
105	1873.752712
106	1872.634008
107	1871.88812
108	1870.853944
109	1869.929916
110	1869.272352
111	1868.292483
112	1867.510886
113	1866.669421
114	1865.999572
115	1865.323493
116	1864.350151
117	1863.544556
118	1863.042089
119	1862.461647
120	1861.672668
121	1860.654989
122	1860.022959
123	1859.205365
124	1858.276372
125	1857.492421
126	1856.928544
127	1856.174361
128	1855.757075
129	1854.822792
130	1853.984796
131	1853.317405
132	1852.342373
133	1851.637411
134	1850.614584
135	1849.846357
136	1848.860986
137	1848.399971
138	1847.748396
139	1847.103661
140	1846.328174
141	1845.443876
142	1844.6903
143	1843.88366
144	1843.401936
145	1842.227336
146	1841.668191
147	1840.72554
148	1840.025657
149	1839.418466
150	1838.750352
151	1838.112245
152	1837.428373
153	1836.825058
154	1836.146773
155	1835.722491
156	1835.008013
157	1834.416461
158	1833.80719
159	1832.824345
160	1832.054222
161	1831.63328
162	1830.897754
163	1830.307509
164	1829.607868
165	1829.166755
166	1828.613602
167	1828.143917
168	1827.786358
169	1827.111044
170	1826.330151
171	1825.900145
172	1825.009211
173	1824.356485
174	1823.598161
175	1823.044674
176	1822.472184
177	1821.883344
178	1821.595236
179	1820.718704
180	1820.230195
181	1819.747961
182	1818.996846
183	1818.568088
184	1817.860584
185	1817.199532
186	1816.569283
187	1815.956997
188	1815.384813
189	1815.035793
190	1814.491689
191	1814.112611
192	1813.779753
193	1813.336469
194	1812.715702
195	1811.879963
196	1811.297731
197	1810.917384
198	1810.374817
199	1809.853011
200	1809.417384
201	1808.817664
202	1808.424257
203	1807.865194
204	1807.291871
205	1806.634574
206	1806.167057
207	1805.74444
208	1805.150348
209	1804.72137
210	1804.446284
211	1804.027169
212	1803.680541
213	1803.144958
214	1802.637708
215	1802.407179
216	1801.88441
217	1801.45862
218	1801.040549
219	1800.416077
220	1799.92063
221	1799.320514
222	1798.941334
223	1798.543058
224	1797.987875
225	1797.505913
226	1797.076031
227	1796.430144
228	1795.93567
229	1795.403552
230	1795.005882
231	1794.509237
232	1794.099119
233	1793.881497
234	1793.424135
235	1792.959703
236	1792.555828
237	1792.107787
238	1791.713783
239	1791.236429
240	1790.922153
241	1790.464999
242	1790.00175
243	1789.586443
244	1789.154564
245	1788.686168
246	1788.070056
