iter	Passed	Remaining
0	61	30937
1	102	25601
2	155	25813
3	209	25965
4	256	25375
5	300	24721
6	343	24171
7	387	23821
8	433	23639
9	477	23378
10	520	23138
11	579	23547
12	613	22991
13	655	22766
14	700	22664
15	740	22411
16	781	22215
17	823	22039
18	860	21785
19	900	21617
20	939	21431
21	976	21223
22	1012	21004
23	1050	20836
24	1096	20840
25	1143	20844
26	1179	20658
27	1221	20585
28	1265	20551
29	1305	20448
30	1348	20400
31	1392	20360
32	1439	20372
33	1477	20252
34	1515	20133
35	1554	20039
36	1592	19925
37	1626	19776
38	1659	19618
39	1693	19479
40	1725	19317
41	1760	19202
42	1794	19071
43	1825	18920
44	1861	18818
45	1897	18727
46	1933	18632
47	1968	18533
48	2003	18437
49	2038	18346
50	2072	18244
51	2102	18110
52	2136	18019
53	2177	17980
54	2211	17891
55	2246	17814
56	2291	17811
57	2332	17777
58	2377	17770
59	2419	17744
60	2467	17756
61	2515	17771
62	2565	17792
63	2607	17764
64	2653	17759
65	2697	17737
66	2746	17751
67	2802	17805
68	2849	17797
69	2898	17805
70	2940	17768
71	2983	17733
72	3028	17713
73	3068	17662
74	3112	17637
75	3155	17604
76	3195	17553
77	3247	17568
78	3301	17596
79	3344	17558
80	3384	17505
81	3422	17448
82	3473	17452
83	3526	17464
84	3580	17482
85	3638	17515
86	3690	17519
87	3743	17526
88	3796	17533
89	3841	17501
90	3889	17481
91	3936	17457
92	3973	17390
93	4009	17319
94	4050	17268
95	4089	17211
96	4132	17167
97	4175	17126
98	4226	17118
99	4268	17072
100	4309	17023
101	4352	16983
102	4398	16954
103	4440	16909
104	4491	16898
105	4536	16863
106	4584	16839
107	4638	16836
108	4679	16785
109	4723	16747
110	4768	16712
111	4812	16672
112	4855	16627
113	4902	16601
114	4945	16555
115	4982	16493
116	5025	16451
117	5065	16399
118	5103	16341
119	5142	16283
120	5184	16240
121	5220	16174
122	5262	16130
123	5304	16085
124	5344	16032
125	5386	15987
126	5423	15929
127	5465	15882
128	5502	15824
129	5540	15767
130	5576	15706
131	5616	15657
132	5659	15617
133	5698	15565
134	5738	15515
135	5776	15461
136	5826	15436
137	5892	15456
138	5957	15471
139	6000	15428
140	6052	15409
141	6095	15366
142	6140	15329
143	6184	15290
144	6237	15271
145	6288	15246
146	6332	15205
147	6378	15170
148	6430	15147
149	6473	15104
150	6523	15076
151	6564	15028
152	6604	14979
153	6654	14951
154	6701	14916
155	6745	14873
156	6789	14832
157	6833	14790
158	6875	14746
159	6928	14722
160	6972	14680
161	7013	14632
162	7059	14595
163	7101	14549
164	7141	14499
165	7178	14444
166	7218	14393
167	7248	14323
168	7279	14257
169	7312	14194
170	7346	14135
171	7377	14068
172	7407	14001
173	7437	13934
174	7471	13875
175	7501	13808
176	7534	13750
177	7565	13686
178	7594	13618
179	7626	13558
180	7658	13497
181	7687	13431
182	7719	13371
183	7750	13310
184	7786	13258
185	7821	13204
186	7854	13147
187	7888	13091
188	7920	13033
189	7955	12980
190	7991	12928
191	8022	12869
192	8054	12812
193	8091	12762
194	8122	12704
195	8159	12655
196	8191	12599
197	8224	12544
198	8258	12491
199	8296	12444
200	8327	12387
201	8361	12335
202	8398	12288
203	8429	12231
204	8461	12176
205	8494	12123
206	8525	12067
207	8557	12013
208	8589	11959
209	8623	11908
210	8654	11854
211	8691	11807
212	8719	11749
213	8753	11699
214	8790	11652
215	8822	11600
216	8858	11553
217	8891	11501
218	8923	11449
219	8962	11407
220	8997	11358
221	9036	11315
222	9067	11262
223	9100	11212
224	9136	11166
225	9170	11118
226	9204	11069
227	9241	11024
228	9275	10977
229	9319	10939
230	9356	10895
231	9396	10854
232	9433	10810
233	9479	10776
234	9518	10733
235	9560	10695
236	9603	10656
237	9638	10610
238	9677	10567
239	9715	10525
240	9757	10486
241	9795	10442
242	9832	10399
243	9869	10355
244	9905	10309
245	9955	10279
246	9995	10238
247	10034	10196
248	10073	10153
249	10110	10110
250	10142	10061
251	10171	10010
252	10202	9960
253	10236	9914
254	10270	9868
255	10308	9825
256	10341	9777
257	10375	9731
258	10411	9688
259	10449	9645
260	10484	9600
261	10520	9557
262	10559	9515
263	10591	9468
264	10627	9424
265	10661	9379
266	10697	9335
267	10732	9290
268	10760	9240
269	10788	9190
270	10821	9144
271	10855	9099
272	10885	9051
273	10917	9004
274	10948	8957
275	10984	8914
276	11018	8870
277	11054	8827
278	11103	8795
279	11148	8759
280	11194	8724
281	11249	8696
282	11303	8667
283	11347	8630
284	11398	8598
285	11440	8560
286	11487	8525
287	11539	8494
288	11578	8453
289	11615	8411
290	11652	8368
291	11694	8330
292	11734	8290
293	11770	8247
294	11805	8203
295	11840	8160
296	11873	8115
297	11905	8070
298	11940	8026
299	11968	7979
300	12000	7933
301	12031	7888
302	12067	7845
303	12097	7799
304	12126	7752
305	12156	7707
306	12186	7661
307	12220	7617
308	12251	7572
309	12281	7527
310	12317	7485
311	12349	7441
312	12379	7395
313	12407	7349
314	12434	7302
315	12463	7257
316	12491	7211
317	12526	7169
318	12560	7126
319	12591	7082
320	12625	7040
321	12662	6999
322	12692	6955
323	12725	6912
324	12753	6867
325	12784	6823
326	12815	6780
327	12845	6736
328	12880	6694
329	12917	6654
330	12956	6615
331	13001	6579
332	13038	6538
333	13075	6498
334	13112	6458
335	13150	6418
336	13183	6376
337	13221	6337
338	13260	6297
339	13291	6254
340	13331	6216
341	13365	6174
342	13405	6136
343	13443	6096
344	13482	6057
345	13516	6015
346	13553	5976
347	13584	5933
348	13614	5890
349	13645	5847
350	13677	5806
351	13709	5764
352	13743	5723
353	13777	5682
354	13809	5640
355	13839	5598
356	13874	5557
357	13914	5519
358	13945	5477
359	13977	5435
360	14006	5392
361	14039	5352
362	14070	5310
363	14098	5267
364	14128	5225
365	14163	5185
366	14189	5142
367	14223	5102
